informal_stmt,formal_stmt,header,proof_state,mathlib_dependencies,hard_dependencies,source,problem_name,full_name,problem_type,split
Prove that the Cauchy product of two absolutely convergent series converges absolutely.,"theorem exercise_3_13
  (a b : ℕ → ℝ)
  (ha : ∃ y, (Tendsto (λ n => (∑ i in (range n), |a i|)) atTop (𝓝 y)))
  (hb : ∃ y, (Tendsto (λ n => (∑ i in (range n), |b i|)) atTop (𝓝 y))) :
  ∃ y, (Tendsto (λ n => (∑ i in (range n),
  λ i => (∑ j in range (i + 1), a j * b (i - j)))) atTop (𝓝 y)) :=
sorry","import Mathlib

open Topology Filter Real Complex TopologicalSpace Finset
open scoped BigOperators
noncomputable section


","a, b : ℕ → ℝ
ha : ∃ y, Filter.Tendsto (fun n ↦ ∑ i in Finset.range n, |a i|) Filter.atTop (𝓝 y)
hb : ∃ y, Filter.Tendsto (fun n ↦ ∑ i in Finset.range n, |b i|) Filter.atTop (𝓝 y)
⊢ ∃ y, Filter.Tendsto (fun n ↦ ∑ i in Finset.range n, fun i ↦ ∑ j in Finset.range (i + 1), a j * b (i - j)) Filter.atTop (𝓝 y)","['Filter.Tendsto', 'Finset.range', 'Filter.atTop']",[],Rudin,exercise_3_13,Rudin.exercise_3_13,proof,test
"Suppose $\left\{p_{n}\right\}$ is a Cauchy sequence in a metric space $X$, and some sequence $\left\{p_{n l}\right\}$ converges to a point $p \in X$. Prove that the full sequence $\left\{p_{n}\right\}$ converges to $p$.","theorem exercise_3_20 {X : Type*} [MetricSpace X]
  (p : ℕ → X) (l : ℕ) (r : X)
  (hp : CauchySeq p)
  (hpl : Tendsto (λ n => p (l * n)) atTop (𝓝 r)) :
  Tendsto p atTop (𝓝 r) :=
sorry","import Mathlib

open Topology Filter Real Complex TopologicalSpace Finset
open scoped BigOperators
noncomputable section


","X : Type u_1
inst✝ : MetricSpace X
p : ℕ → X
l : ℕ
r : X
hp : CauchySeq p
hpl : Filter.Tendsto (fun n ↦ p (l * n)) Filter.atTop (𝓝 r)
⊢ Filter.Tendsto p Filter.atTop (𝓝 r)","['MetricSpace', 'CauchySeq', 'Filter.Tendsto', 'Filter.atTop']",[],Rudin,exercise_3_20,Rudin.exercise_3_20,proof,test
"If $\left\{E_{n}\right\}$ is a sequence of closed nonempty and bounded sets in a complete metric space $X$, if $E_{n} \supset E_{n+1}$, and if $\lim _{n \rightarrow \infty} \operatorname{diam} E_{n}=0,$ then $\bigcap_{1}^{\infty} E_{n}$ consists of exactly one point.","theorem exercise_3_21
  {X : Type*} [MetricSpace X] [CompleteSpace X]
  (E : ℕ → Set X)
  (hE : ∀ n, E n ⊃ E (n + 1))
  (hE' : Tendsto (λ n => Metric.diam (E n)) atTop (𝓝 0)) :
  ∃ a, Set.iInter E = {a} :=
sorry","import Mathlib

open Topology Filter Real Complex TopologicalSpace Finset
open scoped BigOperators
noncomputable section


","X : Type u_1
inst✝¹ : MetricSpace X
inst✝ : CompleteSpace X
E : ℕ → Set X
hE : ∀ (n : ℕ), E n ⊃ E (n + 1)
hE' : Filter.Tendsto (fun n ↦ Metric.diam (E n)) Filter.atTop (𝓝 0)
⊢ ∃ a, Set.iInter E = {a}","['MetricSpace', 'CompleteSpace', 'Set', 'Filter.Tendsto', 'Metric.diam', 'Filter.atTop', 'Set.iInter']",[],Rudin,exercise_3_21,Rudin.exercise_3_21,proof,test
"Suppose $X$ is a nonempty complete metric space, and $\left\{G_{n}\right\}$ is a sequence of dense open sets of $X$. Prove Baire's theorem, namely, that $\bigcap_{1}^{\infty} G_{n}$ is not empty.","theorem exercise_3_22 (X : Type*) [MetricSpace X] [CompleteSpace X]
  (G : ℕ → Set X) (hG : ∀ n, IsOpen (G n) ∧ Dense (G n)) :
  ∃ x, ∀ n, x ∈ G n :=
sorry","import Mathlib

open Topology Filter Real Complex TopologicalSpace Finset
open scoped BigOperators
noncomputable section


","X : Type u_1
inst✝¹ : MetricSpace X
inst✝ : CompleteSpace X
G : ℕ → Set X
hG : ∀ (n : ℕ), IsOpen (G n) ∧ Dense (G n)
⊢ ∃ x, ∀ (n : ℕ), x ∈ G n","['MetricSpace', 'CompleteSpace', 'Set', 'IsOpen', 'Dense']",[],Rudin,exercise_3_22,Rudin.exercise_3_22,proof,test
Suppose $f$ is a real function defined on $\mathbb{R}$ which satisfies $\lim_{h \rightarrow 0} f(x + h) - f(x - h) = 0$ for every $x \in \mathbb{R}$. Show that $f$ does not need to be continuous.,"theorem exercise_4_1a
  : ∃ (f : ℝ → ℝ), (∀ (x : ℝ), Tendsto (λ y => f (x + y) - f (x - y)) (𝓝 0) (𝓝 0)) ∧ ¬ Continuous f :=
sorry","import Mathlib

open Topology Filter Real Complex TopologicalSpace Finset
open scoped BigOperators
noncomputable section


","⊢ ∃ f, (∀ (x : ℝ), Filter.Tendsto (fun y ↦ f (x + y) - f (x - y)) (𝓝 0) (𝓝 0)) ∧ ¬Continuous f","['Filter.Tendsto', 'Continuous']",[],Rudin,exercise_4_1a,Rudin.exercise_4_1a,proof,test
"If $f$ is a continuous mapping of a metric space $X$ into a metric space $Y$, prove that $f(\overline{E}) \subset \overline{f(E)}$ for every set $E \subset X$. ($\overline{E}$ denotes the closure of $E$).","theorem exercise_4_2a
  {α : Type} [MetricSpace α]
  {β : Type} [MetricSpace β]
  (f : α → β)
  (h₁ : Continuous f)
  : ∀ (x : Set α), f '' (closure x) ⊆ closure (f '' x) :=
sorry","import Mathlib

open Topology Filter Real Complex TopologicalSpace Finset
open scoped BigOperators
noncomputable section


","α : Type
inst✝¹ : MetricSpace α
β : Type
inst✝ : MetricSpace β
f : α → β
h₁ : Continuous f
⊢ ∀ (x : Set α), f '' closure x ⊆ closure (f '' x)","['MetricSpace', 'Continuous', 'Set', 'closure']",[],Rudin,exercise_4_2a,Rudin.exercise_4_2a,proof,test
Let $f$ be a continuous real function on a metric space $X$. Let $Z(f)$ (the zero set of $f$ ) be the set of all $p \in X$ at which $f(p)=0$. Prove that $Z(f)$ is closed.,"theorem exercise_4_3
  {α : Type} [MetricSpace α]
  (f : α → ℝ) (h : Continuous f) (z : Set α) (g : z = f⁻¹' {0})
  : IsClosed z :=
sorry","import Mathlib

open Topology Filter Real Complex TopologicalSpace Finset
open scoped BigOperators
noncomputable section


","α : Type
inst✝ : MetricSpace α
f : α → ℝ
h : Continuous f
z : Set α
g : z = f ⁻¹' {0}
⊢ IsClosed z","['MetricSpace', 'Continuous', 'Set', 'IsClosed']",[],Rudin,exercise_4_3,Rudin.exercise_4_3,proof,test
"Let $f$ and $g$ be continuous mappings of a metric space $X$ into a metric space $Y$, and let $E$ be a dense subset of $X$. Prove that $f(E)$ is dense in $f(X)$.","theorem exercise_4_4a
  {α : Type} [MetricSpace α]
  {β : Type} [MetricSpace β]
  (f : α → β)
  (s : Set α)
  (h₁ : Continuous f)
  (h₂ : Dense s)
  : f '' Set.univ ⊆ closure (f '' s) :=
sorry","import Mathlib

open Topology Filter Real Complex TopologicalSpace Finset
open scoped BigOperators
noncomputable section


","α : Type
inst✝¹ : MetricSpace α
β : Type
inst✝ : MetricSpace β
f : α → β
s : Set α
h₁ : Continuous f
h₂ : Dense s
⊢ f '' Set.univ ⊆ closure (f '' s)","['MetricSpace', 'Set', 'Continuous', 'Dense', 'Set.univ', 'closure']",[],Rudin,exercise_4_4a,Rudin.exercise_4_4a,proof,test
"Let $f$ and $g$ be continuous mappings of a metric space $X$ into a metric space $Y$, and let $E$ be a dense subset of $X$. Prove that if $g(p) = f(p)$ for all $p \in P$ then $g(p) = f(p)$ for all $p \in X$.","theorem exercise_4_4b
  {α : Type} [MetricSpace α]
  {β : Type} [MetricSpace β]
  (f g : α → β)
  (s : Set α)
  (h₁ : Continuous f)
  (h₂ : Continuous g)
  (h₃ : Dense s)
  (h₄ : ∀ x ∈ s, f x = g x)
  : f = g :=
sorry","import Mathlib

open Topology Filter Real Complex TopologicalSpace Finset
open scoped BigOperators
noncomputable section


","α : Type
inst✝¹ : MetricSpace α
β : Type
inst✝ : MetricSpace β
f, g : α → β
s : Set α
h₁ : Continuous f
h₂ : Continuous g
h₃ : Dense s
h₄ : ∀ x ∈ s, f x = g x
⊢ f = g","['MetricSpace', 'Set', 'Continuous', 'Dense']",[],Rudin,exercise_4_4b,Rudin.exercise_4_4b,proof,test
"If $f$ is a real continuous function defined on a closed set $E \subset \mathbb{R}$, prove that there exist continuous real functions $g$ on $\mathbb{R}$ such that $g(x)=f(x)$ for all $x \in E$.","theorem exercise_4_5a
  (f : ℝ → ℝ)
  (E : Set ℝ)
  (h₁ : IsClosed E)
  (h₂ : ContinuousOn f E)
  : ∃ (g : ℝ → ℝ), Continuous g ∧ ∀ x ∈ E, f x = g x :=
sorry","import Mathlib

open Topology Filter Real Complex TopologicalSpace Finset
open scoped BigOperators
noncomputable section


","f : ℝ → ℝ
E : Set ℝ
h₁ : IsClosed E
h₂ : ContinuousOn f E
⊢ ∃ g, Continuous g ∧ ∀ x ∈ E, f x = g x","['Set', 'IsClosed', 'ContinuousOn', 'Continuous']",[],Rudin,exercise_4_5a,Rudin.exercise_4_5a,proof,test
"Show that there exist a set $E \subset \mathbb{R}$ and a real continuous function $f$ defined on $E$, such that there does not exist a continuous real function $g$ on $\mathbb{R}$ such that $g(x)=f(x)$ for all $x \in E$.","theorem exercise_4_5b
  : ∃ (E : Set ℝ) (f : ℝ → ℝ), (ContinuousOn f E) ∧
  (¬ ∃ (g : ℝ → ℝ), Continuous g ∧ ∀ x ∈ E, f x = g x) :=
sorry","import Mathlib

open Topology Filter Real Complex TopologicalSpace Finset
open scoped BigOperators
noncomputable section


","⊢ ∃ E f, ContinuousOn f E ∧ ¬∃ g, Continuous g ∧ ∀ x ∈ E, f x = g x","['ContinuousOn', 'Continuous']",[],Rudin,exercise_4_5b,Rudin.exercise_4_5b,proof,test
"If $f$ is defined on $E$, the graph of $f$ is the set of points $(x, f(x))$, for $x \in E$. In particular, if $E$ is a set of real numbers, and $f$ is real-valued, the graph of $f$ is a subset of the plane. Suppose $E$ is compact, and prove that $f$ is continuous on $E$ if and only if its graph is compact.","theorem exercise_4_6
  (f : ℝ → ℝ)
  (E : Set ℝ)
  (G : Set (ℝ × ℝ))
  (h₁ : IsCompact E)
  (h₂ : G = {(x, f x) | x ∈ E})
  : ContinuousOn f E ↔ IsCompact G :=
sorry","import Mathlib

open Topology Filter Real Complex TopologicalSpace Finset
open scoped BigOperators
noncomputable section


","f : ℝ → ℝ
E : Set ℝ
G : Set (ℝ × ℝ)
h₁ : IsCompact E
h₂ : G = {x | ∃ x_1 ∈ E, (x_1, f x_1) = x}
⊢ ContinuousOn f E ↔ IsCompact G","['Set', 'IsCompact', 'ContinuousOn']",[],Rudin,exercise_4_6,Rudin.exercise_4_6,proof,test
Let $f$ be a real uniformly continuous function on the bounded set $E$ in $R^{1}$. Prove that $f$ is bounded on $E$.,"theorem exercise_4_8a
  (E : Set ℝ) (f : ℝ → ℝ) (hf : UniformContinuousOn f E)
  (hE : Bornology.IsBounded E) : Bornology.IsBounded (Set.image f E) :=
sorry","import Mathlib

open Topology Filter Real Complex TopologicalSpace Finset
open scoped BigOperators
noncomputable section


","E : Set ℝ
f : ℝ → ℝ
hf : UniformContinuousOn f E
hE : Bornology.IsBounded E
⊢ Bornology.IsBounded (f '' E)","['Set', 'UniformContinuousOn', 'Bornology.IsBounded']",[],Rudin,exercise_4_8a,Rudin.exercise_4_8a,proof,test
Let $E$ be a bounded set in $R^{1}$. Prove that there exists a real function $f$ such that $f$ is uniformly continuous and is not bounded on $E$.,"theorem exercise_4_8b
  (E : Set ℝ) :
  ∃ f : ℝ → ℝ, UniformContinuousOn f E ∧ ¬ Bornology.IsBounded (Set.image f E) :=
sorry","import Mathlib

open Topology Filter Real Complex TopologicalSpace Finset
open scoped BigOperators
noncomputable section


","E : Set ℝ
⊢ ∃ f, UniformContinuousOn f E ∧ ¬Bornology.IsBounded (f '' E)","['Set', 'UniformContinuousOn', 'Bornology.IsBounded']",[],Rudin,exercise_4_8b,Rudin.exercise_4_8b,proof,test
Suppose $f$ is a uniformly continuous mapping of a metric space $X$ into a metric space $Y$ and prove that $\left\{f\left(x_{n}\right)\right\}$ is a Cauchy sequence in $Y$ for every Cauchy sequence $\{x_n\}$ in $X$.,"theorem exercise_4_11a
  {X : Type*} [MetricSpace X]
  {Y : Type*} [MetricSpace Y]
  (f : X → Y) (hf : UniformContinuous f)
  (x : ℕ → X) (hx : CauchySeq x) :
  CauchySeq (λ n => f (x n)) :=
sorry","import Mathlib

open Topology Filter Real Complex TopologicalSpace Finset
open scoped BigOperators
noncomputable section


","X : Type u_1
inst✝¹ : MetricSpace X
Y : Type u_2
inst✝ : MetricSpace Y
f : X → Y
hf : UniformContinuous f
x : ℕ → X
hx : CauchySeq x
⊢ CauchySeq fun n ↦ f (x n)","['MetricSpace', 'UniformContinuous', 'CauchySeq']",[],Rudin,exercise_4_11a,Rudin.exercise_4_11a,proof,test
A uniformly continuous function of a uniformly continuous function is uniformly continuous.,"theorem exercise_4_12
  {α β γ : Type*} [UniformSpace α] [UniformSpace β] [UniformSpace γ]
  {f : α → β} {g : β → γ}
  (hf : UniformContinuous f) (hg : UniformContinuous g) :
  UniformContinuous (g ∘ f) :=
sorry","import Mathlib

open Topology Filter Real Complex TopologicalSpace Finset
open scoped BigOperators
noncomputable section


","α : Type u_1
β : Type u_2
γ : Type u_3
inst✝² : UniformSpace α
inst✝¹ : UniformSpace β
inst✝ : UniformSpace γ
f : α → β
g : β → γ
hf : UniformContinuous f
hg : UniformContinuous g
⊢ UniformContinuous (g ∘ f)","['UniformSpace', 'UniformContinuous']",[],Rudin,exercise_4_12,Rudin.exercise_4_12,proof,test
Prove that every continuous open mapping of $R^{1}$ into $R^{1}$ is monotonic.,"theorem exercise_4_15 {f : ℝ → ℝ}
  (hf : Continuous f) (hof : IsOpenMap f) :
  Monotone f :=
sorry","import Mathlib

open Topology Filter Real Complex TopologicalSpace Finset
open scoped BigOperators
noncomputable section


","f : ℝ → ℝ
hf : Continuous f
hof : IsOpenMap f
⊢ Monotone f","['Continuous', 'IsOpenMap', 'Monotone']",[],Rudin,exercise_4_15,Rudin.exercise_4_15,proof,test
"Suppose $f$ is a real function with domain $R^{1}$ which has the intermediate value property: if $f(a)<c<f(b)$, then $f(x)=c$ for some $x$ between $a$ and $b$. Suppose also, for every rational $r$, that the set of all $x$ with $f(x)=r$ is closed. Prove that $f$ is continuous.","theorem exercise_4_19
  {f : ℝ → ℝ} (hf : ∀ a b c, a < b → f a < c → c < f b → ∃ x, a < x ∧ x < b ∧ f x = c)
  (hg : ∀ r : ℚ, IsClosed {x | f x = r}) : Continuous f :=
sorry","import Mathlib

open Topology Filter Real Complex TopologicalSpace Finset
open scoped BigOperators
noncomputable section


","f : ℝ → ℝ
hf : ∀ (a b c : ℝ), a < b → f a < c → c < f b → ∃ x, a < x ∧ x < b ∧ f x = c
hg : ∀ (r : ℚ), IsClosed {x | f x = ↑r}
⊢ Continuous f","['IsClosed', 'Continuous']",[],Rudin,exercise_4_19,Rudin.exercise_4_19,proof,test
"Suppose $K$ and $F$ are disjoint sets in a metric space $X, K$ is compact, $F$ is closed. Prove that there exists $\delta>0$ such that $d(p, q)>\delta$ if $p \in K, q \in F$.","theorem exercise_4_21a {X : Type*} [MetricSpace X]
  (K F : Set X) (hK : IsCompact K) (hF : IsClosed F) (hKF : Disjoint K F) :
  ∃ (δ : ℝ), δ > 0 ∧ ∀ (p q : X), p ∈ K → q ∈ F → dist p q ≥ δ :=
sorry","import Mathlib

open Topology Filter Real Complex TopologicalSpace Finset
open scoped BigOperators
noncomputable section


","X : Type u_1
inst✝ : MetricSpace X
K, F : Set X
hK : IsCompact K
hF : IsClosed F
hKF : Disjoint K F
⊢ ∃ δ > 0, ∀ (p q : X), p ∈ K → q ∈ F → Dist.dist p q ≥ δ","['MetricSpace', 'Set', 'IsCompact', 'IsClosed', 'Disjoint', 'Dist.dist']",[],Rudin,exercise_4_21a,Rudin.exercise_4_21a,proof,test
"Assume that $f$ is a continuous real function defined in $(a, b)$ such that $f\left(\frac{x+y}{2}\right) \leq \frac{f(x)+f(y)}{2}$ for all $x, y \in(a, b)$. Prove that $f$ is convex.","theorem exercise_4_24 {f : ℝ → ℝ}
  (hf : Continuous f) (a b : ℝ) (hab : a < b)
  (h : ∀ x y : ℝ, a < x → x < b → a < y → y < b → f ((x + y) / 2) ≤ (f x + f y) / 2) :
  ConvexOn ℝ (Set.Ioo a b) f :=
sorry","import Mathlib

open Topology Filter Real Complex TopologicalSpace Finset
open scoped BigOperators
noncomputable section


","f : ℝ → ℝ
hf : Continuous f
a, b : ℝ
hab : a < b
h : ∀ (x y : ℝ), a < x → x < b → a < y → y < b → f ((x + y) / 2) ≤ (f x + f y) / 2
⊢ ConvexOn ℝ (Set.Ioo a b) f","['Continuous', 'ConvexOn', 'Set.Ioo']",[],Rudin,exercise_4_24,Rudin.exercise_4_24,proof,test
"Let $f$ be defined for all real $x$, and suppose that $|f(x)-f(y)| \leq (x-y)^{2}$ for all real $x$ and $y$. Prove that $f$ is constant.","theorem exercise_5_1
  {f : ℝ → ℝ} (hf : ∀ x y : ℝ, |(f x - f y)| ≤ (x - y) ^ 2) :
  ∃ c, f = λ x => c :=
sorry","import Mathlib

open Topology Filter Real Complex TopologicalSpace Finset
open scoped BigOperators
noncomputable section


","f : ℝ → ℝ
hf : ∀ (x y : ℝ), |f x - f y| ≤ (x - y) ^ 2
⊢ ∃ c, f = fun x ↦ c",[],[],Rudin,exercise_5_1,Rudin.exercise_5_1,proof,test
"Suppose $f^{\prime}(x)>0$ in $(a, b)$. Prove that $f$ is strictly increasing in $(a, b)$, and let $g$ be its inverse function. Prove that $g$ is differentiable, and that $g^{\prime}(f(x))=\frac{1}{f^{\prime}(x)} \quad(a<x<b)$.","theorem exercise_5_2 {a b : ℝ}
  {f g : ℝ → ℝ} (hf : ∀ x ∈ Set.Ioo a b, deriv f x > 0)
  (hg : g = f⁻¹)
  (hg_diff : DifferentiableOn ℝ g (Set.Ioo a b)) :
  DifferentiableOn ℝ g (Set.Ioo a b) ∧
  ∀ x ∈ Set.Ioo a b, deriv g x = 1 / deriv f x :=
sorry","import Mathlib

open Topology Filter Real Complex TopologicalSpace Finset
open scoped BigOperators
noncomputable section


","a, b : ℝ
f, g : ℝ → ℝ
hf : ∀ x ∈ Set.Ioo a b, deriv f x > 0
hg : g = f⁻¹
hg_diff : DifferentiableOn ℝ g (Set.Ioo a b)
⊢ DifferentiableOn ℝ g (Set.Ioo a b) ∧ ∀ x ∈ Set.Ioo a b, deriv g x = 1 / deriv f x","['Set.Ioo', 'deriv', 'DifferentiableOn']",[],Rudin,exercise_5_2,Rudin.exercise_5_2,proof,test
"Suppose $g$ is a real function on $R^{1}$, with bounded derivative (say $\left|g^{\prime}\right| \leq M$ ). Fix $\varepsilon>0$, and define $f(x)=x+\varepsilon g(x)$. Prove that $f$ is one-to-one if $\varepsilon$ is small enough.","theorem exercise_5_3 {g : ℝ → ℝ} (hg : Continuous g)
  (hg' : ∃ M : ℝ, ∀ x : ℝ, |deriv g x| ≤ M) :
  ∃ N, ∀ ε > 0, ε < N → Function.Injective (λ x : ℝ => x + ε * g x) :=
sorry","import Mathlib

open Topology Filter Real Complex TopologicalSpace Finset
open scoped BigOperators
noncomputable section


","g : ℝ → ℝ
hg : Continuous g
hg' : ∃ M, ∀ (x : ℝ), |deriv g x| ≤ M
⊢ ∃ N, ∀ ε > 0, ε < N → Function.Injective fun x ↦ x + ε * g x","['Continuous', 'deriv', 'Function.Injective']",[],Rudin,exercise_5_3,Rudin.exercise_5_3,proof,test
"If $C_{0}+\frac{C_{1}}{2}+\cdots+\frac{C_{n-1}}{n}+\frac{C_{n}}{n+1}=0,$ where $C_{0}, \ldots, C_{n}$ are real constants, prove that the equation $C_{0}+C_{1} x+\cdots+C_{n-1} x^{n-1}+C_{n} x^{n}=0$ has at least one real root between 0 and 1.","theorem exercise_5_4 {n : ℕ}
  (C : ℕ → ℝ)
  (hC : ∑ i in (range (n + 1)), (C i) / (i + 1) = 0) :
  ∃ x, x ∈ (Set.Icc (0 : ℝ) 1) ∧ ∑ i in range (n + 1), (C i) * (x^i) = 0 :=
sorry","import Mathlib

open Topology Filter Real Complex TopologicalSpace Finset
open scoped BigOperators
noncomputable section


","n : ℕ
C : ℕ → ℝ
hC : ∑ i in Finset.range (n + 1), C i / (↑i + 1) = 0
⊢ ∃ x ∈ Set.Icc 0 1, ∑ i in Finset.range (n + 1), C i * x ^ i = 0","['Finset.range', 'Set.Icc']",[],Rudin,exercise_5_4,Rudin.exercise_5_4,proof,test
"Suppose $f$ is defined and differentiable for every $x>0$, and $f^{\prime}(x) \rightarrow 0$ as $x \rightarrow+\infty$. Put $g(x)=f(x+1)-f(x)$. Prove that $g(x) \rightarrow 0$ as $x \rightarrow+\infty$.","theorem exercise_5_5
  {f : ℝ → ℝ}
  (hfd : Differentiable ℝ f)
  (hf : Tendsto (deriv f) atTop (𝓝 0)) :
  Tendsto (λ x => f (x + 1) - f x) atTop atTop :=
sorry","import Mathlib

open Topology Filter Real Complex TopologicalSpace Finset
open scoped BigOperators
noncomputable section


","f : ℝ → ℝ
hfd : Differentiable ℝ f
hf : Filter.Tendsto (deriv f) Filter.atTop (𝓝 0)
⊢ Filter.Tendsto (fun x ↦ f (x + 1) - f x) Filter.atTop Filter.atTop","['Differentiable', 'Filter.Tendsto', 'deriv', 'Filter.atTop']",[],Rudin,exercise_5_5,Rudin.exercise_5_5,proof,test
"Suppose (a) $f$ is continuous for $x \geq 0$, (b) $f^{\prime}(x)$ exists for $x>0$, (c) $f(0)=0$, (d) $f^{\prime}$ is monotonically increasing. Put $g(x)=\frac{f(x)}{x} \quad(x>0)$ and prove that $g$ is monotonically increasing.","theorem exercise_5_6
  {f : ℝ → ℝ}
  (hf1 : Continuous f)
  (hf2 : ∀ x, DifferentiableAt ℝ f x)
  (hf3 : f 0 = 0)
  (hf4 : Monotone (deriv f)) :
  MonotoneOn (λ x => f x / x) (Set.Ioi 0) :=
sorry","import Mathlib

open Topology Filter Real Complex TopologicalSpace Finset
open scoped BigOperators
noncomputable section


","f : ℝ → ℝ
hf1 : Continuous f
hf2 : ∀ (x : ℝ), DifferentiableAt ℝ f x
hf3 : f 0 = 0
hf4 : Monotone (deriv f)
⊢ MonotoneOn (fun x ↦ f x / x) (Set.Ioi 0)","['Continuous', 'DifferentiableAt', 'Monotone', 'deriv', 'MonotoneOn', 'Set.Ioi']",[],Rudin,exercise_5_6,Rudin.exercise_5_6,proof,test
"Suppose $f^{\prime}(x), g^{\prime}(x)$ exist, $g^{\prime}(x) \neq 0$, and $f(x)=g(x)=0$. Prove that $\lim _{t \rightarrow x} \frac{f(t)}{g(t)}=\frac{f^{\prime}(x)}{g^{\prime}(x)}.$","theorem exercise_5_7
  {f g : ℝ → ℝ} {x : ℝ}
  (hf' : DifferentiableAt ℝ f 0)
  (hg' : DifferentiableAt ℝ g 0)
  (hg'_ne_0 : deriv g 0 ≠ 0)
  (f0 : f 0 = 0) (g0 : g 0 = 0) :
  Tendsto (λ x => f x / g x) (𝓝 x) (𝓝 (deriv f x / deriv g x)) :=
sorry","import Mathlib

open Topology Filter Real Complex TopologicalSpace Finset
open scoped BigOperators
noncomputable section


","f, g : ℝ → ℝ
x : ℝ
hf' : DifferentiableAt ℝ f 0
hg' : DifferentiableAt ℝ g 0
hg'_ne_0 : deriv g 0 ≠ 0
f0 : f 0 = 0
g0 : g 0 = 0
⊢ Filter.Tendsto (fun x ↦ f x / g x) (𝓝 x) (𝓝 (deriv f x / deriv g x))","['DifferentiableAt', 'deriv', 'Filter.Tendsto']",[],Rudin,exercise_5_7,Rudin.exercise_5_7,proof,test
"Suppose $a \in R^{1}, f$ is a twice-differentiable real function on $(a, \infty)$, and $M_{0}, M_{1}, M_{2}$ are the least upper bounds of $|f(x)|,\left|f^{\prime}(x)\right|,\left|f^{\prime \prime}(x)\right|$, respectively, on $(a, \infty)$. Prove that $M_{1}^{2} \leq 4 M_{0} M_{2} .$","theorem exercise_5_15 {f : ℝ → ℝ} (a M0 M1 M2 : ℝ)
  (hf' : DifferentiableOn ℝ f (Set.Ici a))
  (hf'' : DifferentiableOn ℝ (deriv f) (Set.Ici a))
  (hM0 : M0 = sSup {(|f x|) | x ∈ (Set.Ici a)})
  (hM1 : M1 = sSup {(|deriv f x|) | x ∈ (Set.Ici a)})
  (hM2 : M2 = sSup {(|deriv (deriv f) x|) | x ∈ (Set.Ici a)}) :
  (M1 ^ 2) ≤ 4 * M0 * M2 :=
sorry","import Mathlib

open Topology Filter Real Complex TopologicalSpace Finset
open scoped BigOperators
noncomputable section


","f : ℝ → ℝ
a, M0, M1, M2 : ℝ
hf' : DifferentiableOn ℝ f (Set.Ici a)
hf'' : DifferentiableOn ℝ (deriv f) (Set.Ici a)
hM0 : M0 = SupSet.sSup {x | ∃ x_1 ∈ Set.Ici a, |f x_1| = x}
hM1 : M1 = SupSet.sSup {x | ∃ x_1 ∈ Set.Ici a, |deriv f x_1| = x}
hM2 : M2 = SupSet.sSup {x | ∃ x_1 ∈ Set.Ici a, |deriv (deriv f) x_1| = x}
⊢ M1 ^ 2 ≤ 4 * M0 * M2","['DifferentiableOn', 'Set.Ici', 'deriv', 'SupSet.sSup']",[],Rudin,exercise_5_15,Rudin.exercise_5_15,proof,test
"Suppose $f$ is a real, three times differentiable function on $[-1,1]$, such that $f(-1)=0, \quad f(0)=0, \quad f(1)=1, \quad f^{\prime}(0)=0 .$ Prove that $f^{(3)}(x) \geq 3$ for some $x \in(-1,1)$.","theorem exercise_5_17
  {f : ℝ → ℝ}
  (hf' : DifferentiableOn ℝ f (Set.Icc (-1) 1))
  (hf'' : DifferentiableOn ℝ (deriv f) (Set.Icc 1 1))
  (hf''' : DifferentiableOn ℝ (deriv (deriv f)) (Set.Icc 1 1))
  (hf0 : f (-1) = 0)
  (hf1 : f 0 = 0)
  (hf2 : f 1 = 1)
  (hf3 : deriv f 0 = 0) :
  ∃ x, x ∈ Set.Ioo (-1 : ℝ) 1 ∧ deriv (deriv (deriv f)) x ≥ 3 :=
sorry","import Mathlib

open Topology Filter Real Complex TopologicalSpace Finset
open scoped BigOperators
noncomputable section


","f : ℝ → ℝ
hf' : DifferentiableOn ℝ f (Set.Icc (-1) 1)
hf'' : DifferentiableOn ℝ (deriv f) (Set.Icc 1 1)
hf''' : DifferentiableOn ℝ (deriv (deriv f)) (Set.Icc 1 1)
hf0 : f (-1) = 0
hf1 : f 0 = 0
hf2 : f 1 = 1
hf3 : deriv f 0 = 0
⊢ ∃ x ∈ Set.Ioo (-1) 1, deriv (deriv (deriv f)) x ≥ 3","['DifferentiableOn', 'Set.Icc', 'deriv', 'Set.Ioo']",[],Rudin,exercise_5_17,Rudin.exercise_5_17,proof,test
Show that there are infinitely many primes of the form $3 n+2$ with $n \in \mathbb{N}$.,"theorem exercise_2022_IA_4_I_1E_a : ∀ N : ℕ, ∃ n ≥ N, (3*n+1).Prime ∧ (3*n+1) ≥ N :=
sorry","import Mathlib

open Filter Set


","⊢ ∀ (N : ℕ), ∃ n ≥ N, Nat.Prime (3 * n + 1) ∧ 3 * n + 1 ≥ N",['Nat.Prime'],[],Cambridge-Tripos,exercise_2022_IA_4_I_1E_a,Cambridge-Tripos.exercise_2022_IA_4_I_1E_a,proof,example
